,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,min_salary,max_salary,Cleaned_company_name,State,City,Age,Python,Java,SQL,Scala,Spark,Hadoop,Yarn,AWS,Tableau,Matplotlib,Pandas,Docker,Kubernetes,Neural Networks,R,Seaborn,Job_simplified,Seniority,Length_of_job_desc,avg_salary
0,FCC Data Scientist,$73k-$121k (Glassdoor Est.),"Summary: The FCC Analytics group is responsible for the development and management of the BSA/AML, Fraud and Quality Control analytics functions. The group tunes the financial crimes models dedicated to the detection of suspicious activity and fraudulent transactions as well as those designed to risk rate customers and screen against OFAC designated lists. Additionally, the group manages application related implementations, maintenance and enhancements and the development of reporting and visual analytics used for investigations, KPI tracking, quarterly reporting and annual risk assessments.

The primary purpose of this position is to assist with the management of the Fraud and BSA/AML models related to transaction monitoring, customer risk rating, OFAC fuzzy logic filtering, and transactional fraud mitigation strategies. The individual that fulfills this position must understand the general dynamics of model risk management as set forth by OCC guidelines. Furthermore, the candidate must also have experience with SQL, quantitative stat based analytics (such as standard deviation, percentile distributions, k-means, clustering, etc.), model forecasting and reporting analytics (including visual and flowchart modeling) amongst other skill sets around management of information systems. Requires basic commercial awareness.

ESSENTIAL DUTIES AND RESPONSIBILITIES: While other duties and special projects may be assigned, the primary duties and responsibilities include the following:
Conduct assessments of models and provide reports detailing the current state of data feeds, rule output at current settings, and alert outputs at alternative settings.
Utilize Oracle SQL to the extent of simulating model output.
Identify potential logic deficiencies in model outputs through cross validation of external analyses
Assist with the identification, evaluation, and development of controls to mitigate FCC risk and operational impacts.
Research, develop, prototype and test new models and their related inputs.
Assist with annual FCC model tuning and optimization efforts in line with regulatory expectations to meet false-positive and detection rate criteria; performs quantitative analysis on the alert output of each tuning cycle (able to prepare reports detailing forecast results).
Perform model management reviews for the ongoing assessment of model suitability against emerging risk.
Assist with data integrity and validation testing on FCC projects including software implementations, operational enhancements related to efficiency gains, and other special projects as needed including the coordination of software updates in collaboration with the Bank's IT Department and or Project Management Office.
Support manager with resolving of open issues and/or defects involving applications used by the FCC Department including the identification of issues, tracking, escalation, testing, and resolution.
Maintain business definitions in the form of a data dictionary for all department managed models.
Prepare reports in a manner that is clear and comprehensible to FCC supervisors/managers, internal auditors and regulatory examiners.
Communicate production issues with key stakeholders such as business lines, FCC management team, and the IT Department.
Create documentation and provide technical training to business users as needed (this includes training post model tuning deployments and on new enhancements).
If necessary, effectively communicate with the business lines in order to obtain the necessary information and documentation to complete model improvements.
Handle a large workload with the ability to complete the tasks correctly and efficiently within the designated timeframes exercising discretion in setting priorities.
Communicate effectively to different audiences, including both business and technical parties.
Possess a general understanding of banking with respect to BSA/AML and Fraud risks.
Perform any other assignments as directed by manager.
EDUCATION and/or EXPERIENCE

Bachelor's degree in Computer Science, Management Information Systems or related field.
At least 3 years working with data modeling, software implementation, enhanced reporting analytics or related experience preferably with a financial institution.
Advanced experience with data mining/analytical tools such as R and Python
Strong knowledge of Structured Query Language (SQL), Oracle programming language, data mining techniques, and Business Intelligence Tools
Strong database skills, including working with advanced data sets, pivot tables, advanced database and statistical functions and methods
Experience visualizing data using tools such as Tableau
Experience with developing and implementing Fraud and BSA/AML risk strategies in decision engines, detection tools and onboarding platforms.",3.0,"BankUnited
3.0","Miami Lakes, FL",1001 to 5000 Employees,2009,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),0,73,121,BankUnited,FL,Miami Lakes,11,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,Data Scientist,NA,4816,97.0
1,Research Data Scientist,$72k-$120k (Glassdoor Est.),"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.

JOB DUTIES

Design and develop scalable machine learning and network analytic algorithms
Evaluate performance of a variety of machine learning and network analytic algorithms
Debug and solve problems in complex environments
Explore use of novel methods for compression, dimensionality reduction and summarization
Communicate findings effectively in the form of briefings and technical reports
Formulate research ideas/hypotheses to solve new problems

DESIRED SKILLS

Algorithm development experience in Python, C/C++ and/or Java
Development of machine learning and/or graph-based algorithms (e.g., scikit-learn, networkx, mlpack, weka)
Familiar with high performance and big data computing technology (e.g., MPI, OpenMP, OpenACC, CUDA, opencl, mapreduce, hadoop, spark, BSP)
Exposure to graph traversal languages and graph databases (e.g., Apache Tinkerpop, neo4j, JanusGraph)
Familiar with word embedding methods (e.g., word2vec, GloVe, doc2vec)
Comfortable working on linux systems

EDUCATION

A Masters degree or Ph.D. in Computer Science, Engineering, Mathematics, Physics or related field is required.

About IAI

IAI is a technology innovation company specializing in providing advanced technology solutions and R&D services to federal agencies and corporations. IAI leverages agile R&D processes, a multi-disciplinary collaborative environment, and its substantial intellectual property portfolio to excel in developing concepts into market-focused products and customer-driven solutions. IAI’s core R&D areas include: AI & Advanced Computing; Autonomy & Robotics; Healthcare Research Technologies; Modeling, Simulation & Visualization; and Networks & Cyber Security; and Radar, Communications & Sensors. For more information about IAI please visit www.i-a-i.com.

US Citizenship or Permanent Residency required

All qualified applicants will receive consideration for employment without regard to race,

color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.

Requisition ID:",3.6,"Intelligent Automation
3.6","Rockville, MD",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),0,72,120,Intelligent Automation,MD,Rockville,33,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,Data Scientist,NA,2893,96.0
2,Staff Data Scientist I,$127k-$203k (Glassdoor Est.),"Data Scientist – Machine Learning & Real-Time Decision Processing (Remote, US)

Valassis is a leader in online advertising technology. We process over 12 trillion calculations daily to analyze and decide on more than 110 billion digital ad requests. As a Data Scientist at Valassis your work is central to keeping us at the forefront of the AdTech industry.

We are seeking data experts who are passionate about using cutting edge technology and data science methods to solve unique and complex problems. The ideal candidate is innately curious about how data can be used to tell a story and inform decisions. You have honed your skills through a combination of education, work experience, and hobbies. You are excited about the complexity and challenges of creating intelligent, high performance systems while working with a highly experienced and driven data science team.

If this describes you, we are interested. You can be an integral part of a cross-disciplinary team working on highly visible projects that improve performance and grow the intelligence in our product suite. Our day to day work is performed in a progressive, high-tech workspace where we focus on a friendly, collaborative and fulfilling environment.

On any given day you’ll be…
Using geo location data to track foot traffic, commercial visitation and next most likely visit to understand consumer physical behavior.
Using online behavior data to determine the primary interest categories of consumers and the web properties they visit.
Implementing a predictive model to determine whether a person is likely to visit a car dealership based on the advertising signals they’ve received.
Monitoring & improving a system that deploys and refits 10’s of thousands of models daily.
Developing algorithms to optimize the setting of every lever in a high throughput real-time decision system.
Analyzing data to better understand how a neighborhood’s consumption of web pages correlates with visits to a local big box store.
Finding the handful of outliers in billions of transactions.
Deriving a set of new features that will help better understand the interplay between geography and audience features to improve model performance.
Building new products with applied AI and bring them to market.
Participating in planning, roadmap, and architecture discussions to help evolve our AI processes to improve revenue-generating products.
Our ideal candidate will likely have…
The professional experience and desire to perform responsibilities similar to those listed above
An advanced degree in a relevant, quantitative field or equivalent experience working with Big Data and Spark in a professional setting
Ability to grow and ultimately mentor team members of varying experience levels and competencies through data science, product and software development life cycles
WHO WE ARE
Valassis is a leading digital marketing intelligence company, providing a best-in-class data management platform and online and offline targeting capabilities that fuel superior display advertising and media offerings. Through proprietary technology and the Valassis Digital Consumer Graph™, we power the lifecycle of marketing campaigns – from planning to activation and measurement. In fact, 19 of 20 leading brands work with Valassis to drive better campaign performance.

WHAT'S IN IT FOR YOU?
Valassis has a generous total rewards benefits package that includes medical, dental and vision coverage, 401k and PTO allowance. A wide variety of additional benefits like life insurance, employee assistance and pet insurance are also available; not to mention smart and friendly coworkers!

Valassis is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Applicants who have disabilities may request that accommodations be made in order to complete the selection process.

EEO is the law. To review your rights under Equal Employment Opportunity please visit: www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf.

#LI-JM1",3.4,"Valassis
3.4","Morrisville, NC",1001 to 5000 Employees,1970,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,127,203,Valassis,NC,Morrisville,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Data Scientist,NA,4213,165.0
3,Analytics Data Engineer,$37k-$75k (Glassdoor Est.),"Job Description:

As an Analytics Data Engineer, you will build data structures and pipelines to enable a rapidly growing team of Data Scientists and Analysts. You will form part of the analytics engineering organization responsible for enabling innovation through data exploration. You will be at the forefront of this rapidly evolving field and working closely with other specialists in the data & analytics space (Data Analysts, Data Scientists, DataOps Engineers). Most importantly, you’ll be part of a team that forms the backbone of a fast-growing company at the forefront of an exciting, growing industry. This position is based in Draper, UT.

What You'll Do:

Work in a self-directed but not isolated manner. Take ownership of the technical work you and your team create.
Enable our data analysts and scientists to perform data exploration activities with as much autonomy as possible
Collaborate with business data partners to rapidly iterate on new metrics / datasets and promote the results into a governed Enterprise Data Warehouse
During the normal course of work, contribute tests that improve data quality in our Enterprise Data Warehouse
Proactively identify areas for operational improvement in the data delivery space and collaborate with the rest of the data engineering team to achieve those goals
Help team operate current data platform (on-prem SQL Server) while migrating to new data platform (Snowflake) using a new data transformation architecture
Leverage platform in order to turn data into usable assets

Minimum Experience & Qualifications:

Bachelor’s degree in a technical field (Engineering, Computer Science, Information Systems, etc.)
2+ years professional experience in data & analytics/software engineering or 1+ year professional experience and a graduate degree in relevant field
1+ year experience moving data between systems, ideally into an analytical system
Understands and can explain different data storage technologies at a high level, with in depth knowledge and experience in at least one technology (such as Hadoop, SQL Server, Cassandra, Snowflake, Azure Data Lake Gen2)
Solid knowledge of data modeling, SQL, and optimization techniques
Experience modeling data to be consumed in a BI technology (such as Power BI, Tableau, Excel, Looker, ThoughtSpot, SAP Business Objects)
Deployed production code in at least 1 programming or scripting language (such as Python, R, Java, C#, PowerShell, bash)
Understand modern data warehouse practices
Understanding of modern software development and engineering practices
Understands different levels of technical ability in business users (data analysts, data scientists, management) and can speak at those levels

Compensation, Perks & Benefits:

Competitive Compensation
Full Health Benefits; Medical/Dental/Vision/Life Insurance + Paid Parental Leave
Company Matched 401k
Paid Time Off + Paid Holidays + Paid Volunteer Hours
Diversity Alliance Resource Groups
Employee Stock Purchase Program
Tuition Reimbursement
Charitable Gift Matching
Job required equipment and services

WHO WE ARE

Prog Leasing, is the largest and longest-tenured virtual lease-to-own provider in the United States. The Company’s mission is to provide simple and affordable purchase options for credit challenged consumers. Over the last 20+ years, Progressive Leasing’s alternative lease-purchase options have helped millions of customers with less than perfect credit acquire needed items with ease. Progressive partners with 30,000 retail stores, helping to drive increased revenue and improve customer satisfaction. Learn more at http://www.progleasing.com.

Progressive Leasing welcomes and encourages diversity in the workplace. We do not discriminate in any aspect of employment on the basis of race, color, religion, national origin, ancestry, gender, sexual orientation, gender identity and/or expression, age, veteran status, disability, or any other characteristic protected by federal, state, or local employment discrimination laws where Progressive Leasing does business.",4.4,"Progressive Leasing
4.4","Draper, UT",1001 to 5000 Employees,1999,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),0,37,75,Progressive Leasing,UT,Draper,21,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,Data Engineer,NA,4050,56.0
4,Technical Service Field Scientist – Biofuels North America,$58k-$101k (Glassdoor Est.),"Pioneer a brighter future
At Novozymes, we work in close partnership with our customers and the global community to make a sustainable impact. We use science to advance industries, and as part of Agriculture & Bioenergy, you will work across the agricultural value chain to provide biological solutions that help feed and fuel a growing world.

Technical Service Field Scientist – Biofuels North America
The US ethanol industry is an exciting and dynamic place to work and we are looking for motivated individuals to implement our market-leading products and services.

We are looking for an experienced and personable candidate to join our Biofuels Technical Service team. In this role, you will work with our customers at ethanol plants across the US to learn their processes, understand their challenges, and deliver products and services from Novozymes’ wide portfolio. This will require strong collaboration both with the ethanol producers and the Novozymes Biofuels team.

To be successful in this role, you should be a strong logical thinker with the ability to solve complex technical problems and communicate in an understandable and convincing manner. In addition, you should have a business understanding of how the science will impact economic factors for Novozymes and our customers. In this dynamic and evolving industry, you will need to be able to adapt to exciting and ever-changing information and technology.

Location
The position will ideally be based out of a home office in Kansas City, MO or the surrounding states including Missouri, Illinois, Iowa, and Nebraska.

In this position you need to have:
A minimum of 4 years of relevant experience in the Ethanol industry or Agricultural industry.
A minimum of a BS degree in a scientific field such as Engineering, Chemistry, Biology, Microbiology, Biochemistry.
A solid science background, including engineering, data analysis and fermentation.
Both process experience in the ethanol or corn milling industry and experience working in a technical service or technical sales role (would be ideal).
Ability to travel approximately 50%.

Note: The job level can potentially be adjusted to accommodate applicants with significantly more experience

Are you the next Zymer in our team? Consider a career with Novozymes and let’s realize your potential together.

Novozymes is the world leader in biological solutions. Together with customers, partners and the global community, we improve industrial performance while preserving the planet’s resources and helping build better lives. As the world’s largest provider of enzyme and microbial technologies, our bioinnovation enables higher agricultural yields, low-temperature washing, energy-efficient production, renewable fuel and many other benefits that we rely on today and in the future. We call it Rethink Tomorrow. www.novozymes.com

Novozymes is committed to creating a diverse environment and is proud to be an equal opportunity and affirmative action employer. All employment decisions are based on business needs without regard to race, color, ethnicity, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, age, disability or veteran status.

Application deadline: October 30, 2020",3.8,"Novozymes
3.8","Ames, IA",5001 to 10000 Employees,2000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,58,101,Novozymes,IA,Ames,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Research Scientist,NA,3253,79.5
5,Scientist,$58k-$125k (Glassdoor Est.),"Scientist II*
Must have NGS experience (IVD Diagnostics space)

As a Scientist II (SII) at Invivoscribe you are responsible for managing the development of a project, competently interacting with collaborators and other departments, and writing and reviewing documents in compliance with the IVS Quality Management System (QSR) and applicable regulations. More specifically:

§ Independently performs experiments and generates data in support of product development projects.

§ Maintains a laboratory notebook (and electronic documents) that records all aspects of experimental design and results, following good documentation practices, at all times.

§ Responsible for accuracy and completeness of auditable documents.

§ Independently performs data analysis using available software.

§ Independently designs experiments and writes protocols (per standard guidelines) and reports.

§ Reviews laboratory notebooks, experimental designs, and draft protocols and reports of peers for accuracy and compliance.

§ Professional interactions with collaborators as required for project success, while maintaining the confidentiality of IVS intellectual property.

§ Acting as the Product Development technical lead, manage the development aspects of a project: initiation, design (feasibility, optimization, validation, and verification), writing, and execution.

§ Successfully interact with other departments - Manufacturing, Quality, Regulatory, and Sales and Marketing - for the development, transfer, submission, and commercialization of IVS products.

§ Assists in the creation of product development project timelines and budgets.
Skills and Experience Required: *
§ BS in Molecular Biology or scientifically related field with 6+ years of industry experience in a regulated environment.

§ MS in Molecular Biology or scientifically related field with 5+ years of industry experience in a regulated environment.

§ PhD in Molecular Biology or scientifically related field with 2+ years of industry experience in a regulated environment.

§ Familiarity with quality and regulatory requirements in the following environments: medical device, in vitro diagnostic, GLP, cGMP (QSR), IVDR or ISO.

§ Proficient computer and Microsoft Office program skills (Word, Outlook, Excel and PowerPoint).

§ Experience managing a project.

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday",3.3,"Invivoscribe, Inc.
3.3","San Diego, CA",51 to 200 Employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),0,58,125,"Invivoscribe, Inc.",CA,San Diego,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Research Scientist,NA,2490,91.5
6,Senior Data Analyst,$57k-$96k (Glassdoor Est.),"Senior Data Analyst

Are you the person who is always looking to take on more? Do you have the ability to find opportunity in any situation? Can you concisely explain complex topics to any audience? Are you driven to find the why behind the problem? Do you adapt quickly to constantly changing expectations? Do you know deep in your soul that data and analytics are the best tools to make decisions and drive the business forward?

If you answered yes to these questions and are an experienced data analyst then we want to talk to you.

Position Overview:

Your primary task will be leveraging historical data and industry knowledge to improve purchasing algorithms that maximize margin. Your time will be split between outcomes analysis to identify areas for improvement, experimentation to identify solutions, and coding changes to improve our models.

Primary responsibilities include:

• Enhancing and maintaining purchase price models to maximize margin in a market with scarce goods and MAP pricing

• Enhancing and maintaining eCommerce pricing models to enable revenue and margin targets across multiple channels, including marketplace, web and drop ship

• Maintaining and writing complex SQL queries to leverage internal data

• Maintaining and writing complex purchasing algorithms in Python

• Using outcomes analysis and experimentation to identify and prioritize model changes

• Collaborating with teammates to develop presentations, analyze data, and research findings

• Presenting findings and pitching strategies to business leaders

• Working closely with business leaders to gain a thorough understanding of business strategies and needs

• Complying with all company personnel policies and practices as well as all federal, state, and local standards/requirements

• Other duties as assigned

Qualifications, skills, and abilities:

• Able to adapt quickly to industry and business changes

• Maintain a positive attitude in a high change environment

• Outstanding analytical and organizational skills; the ability to manage and prioritize multiple projects

• Demonstrated ability to synthesize facts and statistical insights into concrete, actionable recommendations

• Ability to work with large datasets and relational tables/databases

• Detail-oriented with high degree of accuracy

• Strong analytical, problem-solving, and critical-thinking skills

• Excellent verbal and written communication skills

Experience/knowledge:

• Bachelor’s Degree in Business, Mathematics, Economics, Statistics or a comparable field of study

• 5+ years of experience in data analytics

• 2+ years of experience in purchasing, pricing or inventory management

• Proficiency in Python with 2+ years of working experience required

• Proficiency in SQL with 2+ years of working experience required

• Proficient with Microsoft office suite, intermediate excel skills required

• Bonus points for experience in optimization modeling

• Additional bonus points for experience pricing in a market with perishable goods",2.9,"Nebraska Book
2.9","Lincoln, NE",201 to 500 Employees,1915,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),0,57,96,Nebraska Book,NE,Lincoln,105,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Data Analyst,Senior,3026,76.5
7,Spark/Big Data Engineer,$52k-$101k (Glassdoor Est.),"The Data Consumption team of Decision Sciences and Transformation (DSaT) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.

Basic Qualifications:

At least two years of experience with SQL and Java or Scala

Experience with manipulating and transforming data

Exposure to NoSQL databases, Spark and the Hadoop Ecosystem (MapReduce, Oozie, Hive, Pig)

Strong critical thinking, decision making, and problem-solving skills

Excellent verbal/written communication skills, including communicating technical issues to non-technical audiences

Bachelor’s degree in a computer related field or equivalent professional experience required

Preferred Qualifications:

Experience in designing efficient and robust ETL/ELT workflows, schedulers, and event-based triggers

Experience with Spark core and Spark SQL
Experience as a Big Data Developer

Exposure to Data Mining, Data Engineering and Data Modeling

Exposure to Graph Databases

Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

Qualifications
About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Benefits:

As a full-time Big Data Developer, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:

Premier Medical, Dental and Vision Insurance with no waiting period**

Paid Vacation, Sick and Parental Leave

401(k) Plan with Profit Sharing
Tuition Reimbursement
Paid Training and Licensures
Benefits may be different by location. Benefit eligibility requirements vary and may include length of service.
*Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.",3.4,"GEICO
3.4","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),0,52,101,GEICO,MD,Chevy Chase,84,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,Data Engineer,NA,3282,76.5
8,Data Scientist II,$74k-$121k (Glassdoor Est.),"Blucora has a bold aspiration: we are committed to giving all people the tools needed to lead healthy financial lives - tools often reserved for the wealthy.

We now turn to the next leg, developing the technological tools that make our vision of financial health for all a reality. Atypical for the financial services industry, we take a contemporary approach to strategy and product development that is founded in user insights, rapid testing and a singular focus on driving end-user value.

Since charting new territory on a daily basis is part of everyone's job at Blucora, we've attracted team members who thrive on the challenge, encourage each other, and are passionately committed to the goal. If you agree that problem- solving is a team sport, and feel energized by a good debate, deep dive research, or a fun night out with colleagues, we might be the right firm for you!
Position Summary

The Data Scientist II is responsible for providing data, analysis, statistical modeling, and machine learning capabilities to inform key business initiatives. This role will deliver models to optimize marketing spend, create personalized engagement, and drive customer retention across both our tax preparation and wealth management businesses.

Essential Duties & Responsibilities

The major responsibilities of the position are listed below. To perform the job successfully, the individual must be able to execute each essential duty satisfactorily. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The major responsibilities of the position are listed below. To perform the job successfully, the individual must be able to execute each essential duty satisfactorily. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Deliver statistical models to drive organizational insights and actions.
Partner closely with the business including the Marketing and Product teams to understand and optimize the customer journey.
Perform end to end statistical modeling with a high level of accuracy.
Assembling and cleaning of data for modeling purposes.
Write and interpret complex SQL queries.
Model selection, build, and testing.
Engage with the broader Data Science organization to support, refine, and test large scale data science projects.
Ability to deploy visualization techniques to deliver insights to end-user.
Summarize and report key analytical findings and recommendations in both oral and written forms to various technical and non-technical teams.
Other job duties as defined.
Education & Experience
Bachelor or Master’s degree in a quantitative discipline (e.g. statistics, physics, engineering).
Minimum of 3 years of hands-on experience in the analysis and modeling of large complex datasets.
Fluency in SQL and experience with Big Data.
Expertise in a programming language (Python, R, SQL) for statistical analysis.
Expertise with statistical modeling techniques such as regression, classification, hypothesis testing, and unsupervised learning.
Hands-on experience with optimization, data mining, or machine learning.
Strong Excel and data visualization skills.
The ability not just to retrieve and present data, but to draw conclusions and make recommendations.
Experience working for a technology or internet company.
Comprehensive Benefits



We offer a competitive salary, outstanding benefits package that includes medical, dental, vision, life insurance, paid vacation and sick days, paid holidays, tuition reimbursement, and 401(k) with company match. Qualified applicants will receive consideration for employment without regard to their race, color, religion, national origin, sex, or disability.

#Blucora

At Blucora, we believe our work benefits from the diverse perspectives of our employees. As such, Blucora welcomes and celebrates diversity and inclusion and is committed to equal opportunity employment. At Blucora, you can expect a supportive, open and inclusive atmosphere and a team that values your contributions.

Blucora, Inc. and its subsidiaries, Avantax Wealth Management, HK Financial Services, and TaxAct are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants without regard to race, color, religion, sex, national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, veteran status, and any other status protected under federal or state law. Blucora, considers information gathered in the hiring process, including information on this application, confidential, and only shares it on a need-to know basis or as required by law. If you need assistance or an accommodation due to a disability, you may contact us at HR@Blucora.com or by calling 972-870-6000 to speak with a member of the HR Talent Acquisition team.",3.3,"Blucora
3.3","Dallas, TX",501 to 1000 Employees,1996,Company - Public,Financial Transaction Processing,Finance,$500 million to $1 billion (USD),0,74,121,Blucora,TX,Dallas,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Data Scientist,NA,4902,97.5
9,Data Scientist - DAB,$83k-$144k (Glassdoor Est.),"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that I agree with Takeda’s Privacy Notice, Privacy Policy and Terms of Use.

Job Description

Are you looking for a patient-focused, innovation-driven company that will inspire you and empower you to shine? Join us in our Cambridge, MA office.

At Takeda, we are transforming the pharmaceutical industry through our R&D-driven market leadership and being a values-led company. To do this, we empower our people to realize their potential through life-changing work. Certified as a Global Top Employer, we offer stimulating careers, encourage innovation, and strive for excellence in everything we do. We foster an inclusive, collaborative workplace, in which our global teams are united by an unwavering commitment to deliver Better Health and a Brighter Future to people around the world.

Here, you will be a vital contributor to our inspiring, bold mission.

The Digital Advisory Board programs aim to ensure our growing data is easily accessible to everyone so we can help our patients and HCPs faster and more effectively.

Real World Evidence

Real World Evidence - Increase the use of real-world data across the Takeda value chain to accelerate our clinical trials and demonstrate patient outcomes.

We believe patients should receive the best support, anywhere, anytime, as they need it. We will do this by providing digital solutions that put patients at the heart of their care by integrating and personalizing the support they receive.

We will explore partnering externally and internally to provide fit-for-purpose solutions that help patients and care teams from diagnosis through treatment and beyond. We will leverage the power of data and technology to gain insights into diseases, treatments or lifestyle to improve the quality of care and make it as unique to each patient as possible.

OBJECTIVES/PURPOSE

Independently perform complex analysis using modern Data Science techniques against structured or unstructured data and report results back to generate insights to Takeda.
Apply machine learning, deep learning and other advanced techniques while performing Data Analysis engagements. This is against structured and un-structured data sets, at small and large scale.
Provide mentorship to other Data Engineers, Data Scientists and Data Specialists across R&D and Vaccine at Takeda as we elevate our data IQ across the organization. This will include coordination of Internal and External collaborations.
Deliver critical analysis against Takeda’s toughest data problems to give us critical insight to the organization’s largest questions.

ACCOUNTABILITIES

Perform machine learning, deep learning and other advanced data techniques at a level of quality that can be defended by peers at a PHD level across the organizations.
Introduce novel and state-of-the-art computational techniques to other teams and scientists to improve capabilities for data analysis with the purpose of deriving high accuracy insight from available datasets more efficiently.
Understanding and usage of different Supervised and Unsupervised learning techniques, their biases, how and when to apply them and which methods are the best for a particular analysis.
Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.
Work independently on tough problems with other team members and independently solve, with some guidance, very difficult technology and data problems.
Demonstrates advanced tooling and techniques to other technical organizations throughout the company

CORE ELEMENTS RELATED TO THIS ROLE

Provide leadership and expertise to best construct data and execute analysis for feature detection, retrospective and predictive modelling, within a complex R&D and Vaccines environment.
Understanding of Machine Learning, Deep Learning, Re-enforcement learning and other techniques to be able to use and teach these methods inside the organization.
Ability to stay up to speed on modern data techniques, understand how to apply them and constantly demonstrated how and where to apply these new methods.
Ability to produce analysis for and defend results to PhD and executive level audience across the organizations
Design, Execute, QC and Deliver Data Science Analysis independently and effectively across the organization

EDUCATION, BEHAVIOURAL COMPETENCIES AND SKILLS

Master’s Degree or PhD in Computer Science, Data Science or equivalent
3+ years’ experience or a PhD and relevant project / coursework
Expertise with the Application of Machine Learning and / or Deep Learning
Up-to-date specialized knowledge of data wrangling, manipulation and management of technologies
Experience with Spark
Ability to manipulate voluminous data with different degree of structuring across disparate sources to build and communicate actionable insights for internal or external parties
Possesses strong personal skills to portray information
Ability to work in an agile and rapid changing environment with high quality deliverables
Experience with two of the following languages: Python, R, Java or Scala
Experience with deep learning frameworks: TensorFlow, MX Net
Working knowledge of SQL and NoSQL datastores
Experience in a scientific environment

Locations

Cambridge, MA

Worker Type

Employee

Worker Sub-Type

Regular

Time Type

Full time",3.7,"Takeda Pharmaceutical
3.7","Cambridge, MA",10000+ Employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,83,144,Takeda Pharmaceutical,MA,Cambridge,239,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,Data Scientist,NA,5418,113.5
